Year,Units,Sex,Federal state,GeoCode,Value
1999,Percentage,,,,14.9
2000,Percentage,,,,14.6
2001,Percentage,,,,12.3
2002,Percentage,,,,12.5
2003,Percentage,,,,12.8
2004,Percentage,,,,12.1
2005,Percentage,,,,13.5
2006,Percentage,,,,13.7
2007,Percentage,,,,12.5
2008,Percentage,,,,11.8
2009,Percentage,,,,11.1
2010,Percentage,,,,11.9
2011,Percentage,,,,11.6
2012,Percentage,,,,10.4
2013,Percentage,,,,9.8
2014,Percentage,,,,9.5
2015,Percentage,,,,9.8
2016,Percentage,,,,10.3
2017,Percentage,,,,10.1
2018,Percentage,,,,10.3
2019,Percentage,,,,10.3
2020,Percentage,,,,10.2
2021,Percentage,,,,12.4
2022,Percentage,,,,12.8
2023,Percentage,,,,13.1
2030,Percentage,,,,
1999,Percentage,Female,,,15.6
2000,Percentage,Female,,,14.9
2001,Percentage,Female,,,12.6
2002,Percentage,Female,,,12.5
2003,Percentage,Female,,,12.8
2004,Percentage,Female,,,11.9
2005,Percentage,Female,,,13.7
2006,Percentage,Female,,,13.4
2007,Percentage,Female,,,11.9
2008,Percentage,Female,,,11.2
2009,Percentage,Female,,,10.7
2010,Percentage,Female,,,11.0
2011,Percentage,Female,,,10.6
2012,Percentage,Female,,,9.7
2013,Percentage,Female,,,9.3
2014,Percentage,Female,,,9.0
2015,Percentage,Female,,,9.5
2016,Percentage,Female,,,9.6
2017,Percentage,Female,,,9.0
2018,Percentage,Female,,,9.1
2019,Percentage,Female,,,8.7
2020,Percentage,Female,,,8.5
2021,Percentage,Female,,,10.2
2022,Percentage,Female,,,11.1
2023,Percentage,Female,,,10.8
1999,Percentage,Male,,,14.2
2000,Percentage,Male,,,14.4
2001,Percentage,Male,,,12.0
2002,Percentage,Male,,,12.5
2003,Percentage,Male,,,12.9
2004,Percentage,Male,,,12.2
2005,Percentage,Male,,,13.3
2006,Percentage,Male,,,14.0
2007,Percentage,Male,,,13.1
2008,Percentage,Male,,,12.4
2009,Percentage,Male,,,11.5
2010,Percentage,Male,,,12.7
2011,Percentage,Male,,,12.5
2012,Percentage,Male,,,11.0
2013,Percentage,Male,,,10.3
2014,Percentage,Male,,,10.0
2015,Percentage,Male,,,10.1
2016,Percentage,Male,,,11.0
2017,Percentage,Male,,,11.1
2018,Percentage,Male,,,11.4
2019,Percentage,Male,,,11.8
2020,Percentage,Male,,,11.8
2021,Percentage,Male,,,14.3
2022,Percentage,Male,,,14.5
2023,Percentage,Male,,,15.3
2005,Percentage,,Baden-Wuerttemberg,code08,12.5
