Year,Units,Time series,COMMENT_OBS_0,Value
1990,Kilograms per hectare,Moving five-year average shown for the last year,,
1991,Kilograms per hectare,Moving five-year average shown for the last year,,
1992,Kilograms per hectare,Moving five-year average shown for the last year,,
1993,Kilograms per hectare,Moving five-year average shown for the last year,,
1994,Kilograms per hectare,Moving five-year average shown for the last year,,116.806
1995,Kilograms per hectare,Moving five-year average shown for the last year,,111.242
1996,Kilograms per hectare,Moving five-year average shown for the last year,,109.376
1997,Kilograms per hectare,Moving five-year average shown for the last year,,107.798
1998,Kilograms per hectare,Moving five-year average shown for the last year,,108.164
1999,Kilograms per hectare,Moving five-year average shown for the last year,,109.076
2000,Kilograms per hectare,Moving five-year average shown for the last year,r,109.496
2001,Kilograms per hectare,Moving five-year average shown for the last year,r,108.318
2002,Kilograms per hectare,Moving five-year average shown for the last year,r,108.702
2003,Kilograms per hectare,Moving five-year average shown for the last year,r,108.144
2004,Kilograms per hectare,Moving five-year average shown for the last year,r,105.35
2005,Kilograms per hectare,Moving five-year average shown for the last year,r,102.74
2006,Kilograms per hectare,Moving five-year average shown for the last year,r,103.398
2007,Kilograms per hectare,Moving five-year average shown for the last year,r,102.176
2008,Kilograms per hectare,Moving five-year average shown for the last year,r,101.652
2009,Kilograms per hectare,Moving five-year average shown for the last year,r,98.828
2010,Kilograms per hectare,Moving five-year average shown for the last year,r,96.256
2011,Kilograms per hectare,Moving five-year average shown for the last year,r,96.372
2012,Kilograms per hectare,Moving five-year average shown for the last year,r,94.88
2013,Kilograms per hectare,Moving five-year average shown for the last year,r,93.32
2014,Kilograms per hectare,Moving five-year average shown for the last year,r,94.06
2015,Kilograms per hectare,Moving five-year average shown for the last year,r,97.196
2016,Kilograms per hectare,Moving five-year average shown for the last year,r,96.462
2017,Kilograms per hectare,Moving five-year average shown for the last year,r,96.682
2018,Kilograms per hectare,Moving five-year average shown for the last year,r,95.71
2019,Kilograms per hectare,Moving five-year average shown for the last year,r,94.006
2020,Kilograms per hectare,Moving five-year average shown for the last year,r,89.258
2021,Kilograms per hectare,Moving five-year average shown for the last year,r,82.86
2022,Kilograms per hectare,Moving five-year average shown for the last year,r,76.556
2023,Kilograms per hectare,Moving five-year average shown for the last year,p,69.764
2030,Kilograms per hectare,Moving five-year average shown for the last year,…,
1990,Kilograms per hectare,Calculated annual values,,141.6
1991,Kilograms per hectare,Calculated annual values,,117.23
1992,Kilograms per hectare,Calculated annual values,,112.2
1993,Kilograms per hectare,Calculated annual values,,106.3
1994,Kilograms per hectare,Calculated annual values,,106.7
1995,Kilograms per hectare,Calculated annual values,,113.78
1996,Kilograms per hectare,Calculated annual values,,107.9
1997,Kilograms per hectare,Calculated annual values,,104.31
1998,Kilograms per hectare,Calculated annual values,,108.13
1999,Kilograms per hectare,Calculated annual values,,111.26
2000,Kilograms per hectare,Calculated annual values,r,115.88
2001,Kilograms per hectare,Calculated annual values,r,102.01
2002,Kilograms per hectare,Calculated annual values,r,106.23
2003,Kilograms per hectare,Calculated annual values,r,105.34
2004,Kilograms per hectare,Calculated annual values,r,97.29
2005,Kilograms per hectare,Calculated annual values,r,102.83
2006,Kilograms per hectare,Calculated annual values,r,105.3
2007,Kilograms per hectare,Calculated annual values,r,100.12
2008,Kilograms per hectare,Calculated annual values,r,102.72
2009,Kilograms per hectare,Calculated annual values,r,83.17
2010,Kilograms per hectare,Calculated annual values,r,89.97
2011,Kilograms per hectare,Calculated annual values,r,105.88
2012,Kilograms per hectare,Calculated annual values,r,92.66
2013,Kilograms per hectare,Calculated annual values,r,94.92
2014,Kilograms per hectare,Calculated annual values,r,86.87
2015,Kilograms per hectare,Calculated annual values,r,105.65
2016,Kilograms per hectare,Calculated annual values,r,102.21
2017,Kilograms per hectare,Calculated annual values,r,93.76
2018,Kilograms per hectare,Calculated annual values,r,90.06
2019,Kilograms per hectare,Calculated annual values,r,78.35
2020,Kilograms per hectare,Calculated annual values,r,81.91
2021,Kilograms per hectare,Calculated annual values,,70.22
2022,Kilograms per hectare,Calculated annual values,r,62.24
2023,Kilograms per hectare,Calculated annual values,p,56.1
2030,Kilograms per hectare,Calculated annual values,…,
