Year,Units,time series,area,Value
2007,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.304
2008,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.302
2009,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.291
2010,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.293
2011,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.29
2012,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.283
2013,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.297
2014,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.307
2015,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.301
2016,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.295
2017,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.291
2018,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.311
2019,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.297
2020,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.305
2021,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.312
2022,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.29
2023,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.294
2024,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,germany,0.295
2007,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.306
2008,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.31
2009,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.306
2010,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.305
2011,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.308
2012,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.305
2013,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.305
2014,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.309
2015,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.308
2016,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.306
2017,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.303
2018,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.304
2019,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.302
2020,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.3
2021,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.302
2022,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.296
2023,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.296
2024,gini coefficient,<u>time series of the indicator:</u> gini coefficient of equivalised disposable income,european union,0.293
2007,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,0.373
2008,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,0.367
2009,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,0.355
2010,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,0.359
2011,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,0.358
2012,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,0.345
2013,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,0.362
2014,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,0.371
2015,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,0.363
2016,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,0.359
2017,gini coefficient,<u>additional time series:</u> gini coefficient of equivalised disposable income before social transfers,germany,0.35
