Year,Units,sex,Value
1999,percentage,,14.9
2000,percentage,,14.6
2001,percentage,,12.3
2002,percentage,,12.5
2003,percentage,,12.8
2004,percentage,,12.1
2005,percentage,,13.5
2006,percentage,,13.7
2007,percentage,,12.5
2008,percentage,,11.8
2009,percentage,,11.1
2010,percentage,,11.9
2011,percentage,,11.6
2012,percentage,,10.4
2013,percentage,,9.8
2014,percentage,,9.5
2015,percentage,,9.8
2016,percentage,,10.3
2017,percentage,,10.1
2018,percentage,,10.3
2019,percentage,,10.3
2020,percentage,,10.2
2021,percentage,,12.4
2022,percentage,,12.8
2023,percentage,,13.1
2030,percentage,,
1999,percentage,female,15.6
2000,percentage,female,14.9
2001,percentage,female,12.6
2002,percentage,female,12.5
2003,percentage,female,12.8
2004,percentage,female,11.9
2005,percentage,female,13.7
2006,percentage,female,13.4
2007,percentage,female,11.9
2008,percentage,female,11.2
2009,percentage,female,10.7
2010,percentage,female,11.0
2011,percentage,female,10.6
2012,percentage,female,9.7
2013,percentage,female,9.3
2014,percentage,female,9.0
2015,percentage,female,9.5
2016,percentage,female,9.6
2017,percentage,female,9.0
2018,percentage,female,9.1
2019,percentage,female,8.7
2020,percentage,female,8.5
2021,percentage,female,10.2
2022,percentage,female,11.1
2023,percentage,female,10.8
1999,percentage,male,14.2
2000,percentage,male,14.4
2001,percentage,male,12.0
2002,percentage,male,12.5
2003,percentage,male,12.9
2004,percentage,male,12.2
2005,percentage,male,13.3
2006,percentage,male,14.0
2007,percentage,male,13.1
2008,percentage,male,12.4
2009,percentage,male,11.5
2010,percentage,male,12.7
2011,percentage,male,12.5
2012,percentage,male,11.0
2013,percentage,male,10.3
2014,percentage,male,10.0
2015,percentage,male,10.1
2016,percentage,male,11.0
2017,percentage,male,11.1
2018,percentage,male,11.4
2019,percentage,male,11.8
2020,percentage,male,11.8
2021,percentage,male,14.3
2022,percentage,male,14.5
2023,percentage,male,15.3
