Year,Units,time series,qualification,sex,Value
1999,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,33.351
2010,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,41.37
2011,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,42.263
2012,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,43.464
2013,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,44.518
2014,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,45.734
2015,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,46.77
2016,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,47.879
2017,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,48.835
2018,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,49.833
2019,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,50.488
2020,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,52.285
2021,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,53.642
2022,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,53.547
2023,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,55.339
2024,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,57.329
2000,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,32.997
2001,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,33.172
2002,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,33.277
2003,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,33.948
2004,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,36.221
2005,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,36.0
2006,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,36.504
2007,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,37.638
2008,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,38.866
2009,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,40.802
2030,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,,
1999,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,31.358
2010,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,42.746
2011,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,44.361
2012,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,45.984
2013,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,46.843
2014,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,48.374
2015,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,50.521
2016,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,51.295
2017,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,52.64
2018,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,53.827
2019,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,54.411
2020,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,56.549
2021,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,57.49
2022,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,57.537
2023,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,59.403
2024,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,61.581
2000,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,30.88
2001,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,31.088
2002,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,31.291
2003,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,32.233
2004,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,34.654
2005,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,34.992
2006,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,36.482
2007,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,38.032
2008,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,39.689
2009,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,female,42.199
1999,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,35.172
2010,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,40.016
2011,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,40.109
2012,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,40.903
2013,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,42.229
2014,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,42.906
2015,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,43.109
2016,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,44.574
2017,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,45.188
2018,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,46.02
2019,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,46.764
2020,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,48.219
2021,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,50.008
2022,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,49.754
2023,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,51.478
2024,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,53.318
2000,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,35.042
2001,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,35.23
2002,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,35.233
2003,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,35.467
2004,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,37.722
2005,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,36.975
2006,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,36.526
2007,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,37.256
2008,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,37.854
2009,percentage,<u>time series of the indicator:</u> academically qualified and professionally highly qualified persons,,male,39.223
1999,percentage,,"secondary education, education after abitur",,8.55
2010,percentage,,"secondary education, education after abitur",,11.56
2011,percentage,,"secondary education, education after abitur",,11.558
2012,percentage,,"secondary education, education after abitur",,11.543
2013,percentage,,"secondary education, education after abitur",,11.409
2014,percentage,,"secondary education, education after abitur",,14.326
2015,percentage,,"secondary education, education after abitur",,14.536
2016,percentage,,"secondary education, education after abitur",,14.797
2017,percentage,,"secondary education, education after abitur",,14.836
2018,percentage,,"secondary education, education after abitur",,14.907
2019,percentage,,"secondary education, education after abitur",,14.973
2020,percentage,,"secondary education, education after abitur",,15.756
2021,percentage,,"secondary education, education after abitur",,14.721
2022,percentage,,"secondary education, education after abitur",,14.465
2023,percentage,,"secondary education, education after abitur",,14.765
2024,percentage,,"secondary education, education after abitur",,15.003
2000,percentage,,"secondary education, education after abitur",,7.666
2001,percentage,,"secondary education, education after abitur",,8.12
2002,percentage,,"secondary education, education after abitur",,8.206
2003,percentage,,"secondary education, education after abitur",,8.873
2004,percentage,,"secondary education, education after abitur",,9.464
2005,percentage,,"secondary education, education after abitur",,9.929
2006,percentage,,"secondary education, education after abitur",,10.656
2007,percentage,,"secondary education, education after abitur",,11.136
2008,percentage,,"secondary education, education after abitur",,11.191
2009,percentage,,"secondary education, education after abitur",,11.368
1999,percentage,,"secondary education, education after abitur",female,
2010,percentage,,"secondary education, education after abitur",female,13.04
2011,percentage,,"secondary education, education after abitur",female,12.903
2012,percentage,,"secondary education, education after abitur",female,13.183
2013,percentage,,"secondary education, education after abitur",female,12.814
2014,percentage,,"secondary education, education after abitur",female,17.633
2015,percentage,,"secondary education, education after abitur",female,18.226
2016,percentage,,"secondary education, education after abitur",female,18.417
2017,percentage,,"secondary education, education after abitur",female,18.449
2018,percentage,,"secondary education, education after abitur",female,18.492
2019,percentage,,"secondary education, education after abitur",female,18.438
2020,percentage,,"secondary education, education after abitur",female,19.419
2021,percentage,,"secondary education, education after abitur",female,18.201
2022,percentage,,"secondary education, education after abitur",female,17.437
2023,percentage,,"secondary education, education after abitur",female,17.963
2024,percentage,,"secondary education, education after abitur",female,17.97
2000,percentage,,"secondary education, education after abitur",female,9.1
2001,percentage,,"secondary education, education after abitur",female,
2002,percentage,,"secondary education, education after abitur",female,
2003,percentage,,"secondary education, education after abitur",female,9.703
2004,percentage,,"secondary education, education after abitur",female,10.396
2005,percentage,,"secondary education, education after abitur",female,10.87
2006,percentage,,"secondary education, education after abitur",female,12.066
2007,percentage,,"secondary education, education after abitur",female,12.365
2008,percentage,,"secondary education, education after abitur",female,12.744
2009,percentage,,"secondary education, education after abitur",female,13.059
1999,percentage,,"secondary education, education after abitur",male,
2010,percentage,,"secondary education, education after abitur",male,10.105
2011,percentage,,"secondary education, education after abitur",male,10.239
2012,percentage,,"secondary education, education after abitur",male,9.94
2013,percentage,,"secondary education, education after abitur",male,10.026
2014,percentage,,"secondary education, education after abitur",male,11.033
2015,percentage,,"secondary education, education after abitur",male,10.935
2016,percentage,,"secondary education, education after abitur",male,11.297
2017,percentage,,"secondary education, education after abitur",male,11.372
2018,percentage,,"secondary education, education after abitur",male,11.485
2019,percentage,,"secondary education, education after abitur",male,11.683
2020,percentage,,"secondary education, education after abitur",male,12.264
2021,percentage,,"secondary education, education after abitur",male,11.436
2022,percentage,,"secondary education, education after abitur",male,11.641
2023,percentage,,"secondary education, education after abitur",male,11.727
2024,percentage,,"secondary education, education after abitur",male,12.205
2000,percentage,,"secondary education, education after abitur",male,6.282
2001,percentage,,"secondary education, education after abitur",male,
2002,percentage,,"secondary education, education after abitur",male,
2003,percentage,,"secondary education, education after abitur",male,8.088
2004,percentage,,"secondary education, education after abitur",male,8.572
2005,percentage,,"secondary education, education after abitur",male,9.018
2006,percentage,,"secondary education, education after abitur",male,9.274
2007,percentage,,"secondary education, education after abitur",male,9.942
2008,percentage,,"secondary education, education after abitur",male,9.657
2009,percentage,,"secondary education, education after abitur",male,9.695
1999,percentage,,higher qualifying vocational training,,10.043
2010,percentage,,higher qualifying vocational training,,7.965
2011,percentage,,higher qualifying vocational training,,9.987
2012,percentage,,higher qualifying vocational training,,10.0
2013,percentage,,higher qualifying vocational training,,9.449
2014,percentage,,higher qualifying vocational training,,4.846
2015,percentage,,higher qualifying vocational training,,4.99
2016,percentage,,higher qualifying vocational training,,4.982
2017,percentage,,higher qualifying vocational training,,5.384
2018,percentage,,higher qualifying vocational training,,5.502
2019,percentage,,higher qualifying vocational training,,5.442
2020,percentage,,higher qualifying vocational training,,6.478
2021,percentage,,higher qualifying vocational training,,7.278
2022,percentage,,higher qualifying vocational training,,7.339
2023,percentage,,higher qualifying vocational training,,7.018
2024,percentage,,higher qualifying vocational training,,7.29
2000,percentage,,higher qualifying vocational training,,10.298
2001,percentage,,higher qualifying vocational training,,9.434
2002,percentage,,higher qualifying vocational training,,9.594
2003,percentage,,higher qualifying vocational training,,8.973
2004,percentage,,higher qualifying vocational training,,9.322
2005,percentage,,higher qualifying vocational training,,8.395
2006,percentage,,higher qualifying vocational training,,7.852
2007,percentage,,higher qualifying vocational training,,7.318
2008,percentage,,higher qualifying vocational training,,7.331
2009,percentage,,higher qualifying vocational training,,7.447
1999,percentage,,higher qualifying vocational training,female,
2010,percentage,,higher qualifying vocational training,female,7.551
2011,percentage,,higher qualifying vocational training,female,10.477
2012,percentage,,higher qualifying vocational training,female,10.372
2013,percentage,,higher qualifying vocational training,female,9.931
2014,percentage,,higher qualifying vocational training,female,3.468
2015,percentage,,higher qualifying vocational training,female,3.678
2016,percentage,,higher qualifying vocational training,female,3.726
2017,percentage,,higher qualifying vocational training,female,3.955
2018,percentage,,higher qualifying vocational training,female,4.282
2019,percentage,,higher qualifying vocational training,female,4.016
2020,percentage,,higher qualifying vocational training,female,5.214
2021,percentage,,higher qualifying vocational training,female,5.695
2022,percentage,,higher qualifying vocational training,female,5.687
2023,percentage,,higher qualifying vocational training,female,5.395
2024,percentage,,higher qualifying vocational training,female,5.978
2000,percentage,,higher qualifying vocational training,female,9.033
2001,percentage,,higher qualifying vocational training,female,
2002,percentage,,higher qualifying vocational training,female,
2003,percentage,,higher qualifying vocational training,female,8.205
2004,percentage,,higher qualifying vocational training,female,8.513
2005,percentage,,higher qualifying vocational training,female,7.528
2006,percentage,,higher qualifying vocational training,female,7.131
2007,percentage,,higher qualifying vocational training,female,6.83
2008,percentage,,higher qualifying vocational training,female,6.782
2009,percentage,,higher qualifying vocational training,female,7.175
1999,percentage,,higher qualifying vocational training,male,
2010,percentage,,higher qualifying vocational training,male,8.371
2011,percentage,,higher qualifying vocational training,male,9.506
2012,percentage,,higher qualifying vocational training,male,9.637
2013,percentage,,higher qualifying vocational training,male,8.973
2014,percentage,,higher qualifying vocational training,male,6.22
2015,percentage,,higher qualifying vocational training,male,6.271
2016,percentage,,higher qualifying vocational training,male,6.196
2017,percentage,,higher qualifying vocational training,male,6.754
2018,percentage,,higher qualifying vocational training,male,6.667
2019,percentage,,higher qualifying vocational training,male,6.796
2020,percentage,,higher qualifying vocational training,male,7.682
2021,percentage,,higher qualifying vocational training,male,8.772
2022,percentage,,higher qualifying vocational training,male,8.909
2023,percentage,,higher qualifying vocational training,male,8.56
2024,percentage,,higher qualifying vocational training,male,8.528
2000,percentage,,higher qualifying vocational training,male,11.521
2001,percentage,,higher qualifying vocational training,male,
2002,percentage,,higher qualifying vocational training,male,
2003,percentage,,higher qualifying vocational training,male,9.698
2004,percentage,,higher qualifying vocational training,male,10.096
2005,percentage,,higher qualifying vocational training,male,9.233
2006,percentage,,higher qualifying vocational training,male,8.559
2007,percentage,,higher qualifying vocational training,male,7.792
2008,percentage,,higher qualifying vocational training,male,7.873
2009,percentage,,higher qualifying vocational training,male,7.716
1999,percentage,,university degree,,14.758
2010,percentage,,university degree,,21.845
2011,percentage,,university degree,,20.718
2012,percentage,,university degree,,21.921
2013,percentage,,university degree,,23.661
2014,percentage,,university degree,,26.562
2015,percentage,,university degree,,27.312
2016,percentage,,university degree,,28.228
2017,percentage,,university degree,,28.615
2018,percentage,,university degree,,29.424
2019,percentage,,university degree,,30.073
2020,percentage,,university degree,,30.051
2021,percentage,,university degree,,31.643
2022,percentage,,university degree,,31.743
2023,percentage,,university degree,,33.556
2024,percentage,,university degree,,35.035
2000,percentage,,university degree,,15.033
2001,percentage,,university degree,,15.618
2002,percentage,,university degree,,15.477
2003,percentage,,university degree,,16.102
2004,percentage,,university degree,,17.435
2005,percentage,,university degree,,17.677
2006,percentage,,university degree,,17.995
2007,percentage,,university degree,,19.184
2008,percentage,,university degree,,20.344
2009,percentage,,university degree,,21.988
1999,percentage,,university degree,female,
2010,percentage,,university degree,female,22.156
2011,percentage,,university degree,female,21.081
2012,percentage,,university degree,female,22.529
2013,percentage,,university degree,female,24.098
2014,percentage,,university degree,female,27.374
2015,percentage,,university degree,female,28.689
2016,percentage,,university degree,female,29.285
2017,percentage,,university degree,female,30.235
2018,percentage,,university degree,female,31.053
2019,percentage,,university degree,female,31.956
2020,percentage,,university degree,female,31.916
2021,percentage,,university degree,female,33.594
2022,percentage,,university degree,female,34.414
2023,percentage,,university degree,female,36.045
2024,percentage,,university degree,female,37.633
2000,percentage,,university degree,female,12.747
2001,percentage,,university degree,female,
2002,percentage,,university degree,female,
2003,percentage,,university degree,female,14.324
2004,percentage,,university degree,female,15.746
2005,percentage,,university degree,female,16.594
2006,percentage,,university degree,female,17.284
2007,percentage,,university degree,female,18.837
2008,percentage,,university degree,female,20.263
2009,percentage,,university degree,female,22.064
1999,percentage,,university degree,male,
2010,percentage,,university degree,male,21.539
2011,percentage,,university degree,male,20.363
2012,percentage,,university degree,male,21.326
2013,percentage,,university degree,male,23.23
2014,percentage,,university degree,male,25.753
2015,percentage,,university degree,male,25.969
2016,percentage,,university degree,male,27.206
2017,percentage,,university degree,male,27.062
2018,percentage,,university degree,male,27.868
2019,percentage,,university degree,male,28.285
2020,percentage,,university degree,male,28.273
2021,percentage,,university degree,male,29.8
2022,percentage,,university degree,male,29.204
2023,percentage,,university degree,male,31.191
2024,percentage,,university degree,male,32.585
2000,percentage,,university degree,male,17.239
2001,percentage,,university degree,male,
2002,percentage,,university degree,male,
2003,percentage,,university degree,male,17.781
2004,percentage,,university degree,male,19.053
2005,percentage,,university degree,male,18.724
2006,percentage,,university degree,male,18.693
2007,percentage,,university degree,male,19.522
2008,percentage,,university degree,male,20.424
2009,percentage,,university degree,male,21.912
1999,percentage,,initial training,,49.396
2010,percentage,,initial training,,41.065
2011,percentage,,initial training,,40.482
2012,percentage,,initial training,,39.425
2013,percentage,,initial training,,38.693
2014,percentage,,initial training,,38.047
2015,percentage,,initial training,,36.855
2016,percentage,,initial training,,35.171
2017,percentage,,initial training,,34.264
2018,percentage,,initial training,,33.065
2019,percentage,,initial training,,32.248
2020,percentage,,initial training,,28.838
2021,percentage,,initial training,,26.274
2022,percentage,,initial training,,24.664
2023,percentage,,initial training,,22.718
2024,percentage,,initial training,,21.867
2000,percentage,,initial training,,49.322
2001,percentage,,initial training,,49.65
2002,percentage,,initial training,,48.917
2003,percentage,,initial training,,48.646
2004,percentage,,initial training,,46.517
2005,percentage,,initial training,,44.75
2006,percentage,,initial training,,43.96
2007,percentage,,initial training,,43.504
2008,percentage,,initial training,,42.921
2009,percentage,,initial training,,41.204
1999,percentage,,initial training,female,
2010,percentage,,initial training,female,39.405
2011,percentage,,initial training,female,38.186
2012,percentage,,initial training,female,36.887
2013,percentage,,initial training,female,36.193
2014,percentage,,initial training,female,35.163
2015,percentage,,initial training,female,33.5
2016,percentage,,initial training,female,32.001
2017,percentage,,initial training,female,31.554
2018,percentage,,initial training,female,30.558
2019,percentage,,initial training,female,29.631
2020,percentage,,initial training,female,25.707
2021,percentage,,initial training,female,24.016
2022,percentage,,initial training,female,22.266
2023,percentage,,initial training,female,20.038
2024,percentage,,initial training,female,19.423
2000,percentage,,initial training,female,50.121
2001,percentage,,initial training,female,
2002,percentage,,initial training,female,
2003,percentage,,initial training,female,48.995
2004,percentage,,initial training,female,46.648
2005,percentage,,initial training,female,44.886
2006,percentage,,initial training,female,43.095
2007,percentage,,initial training,female,42.657
2008,percentage,,initial training,female,41.379
2009,percentage,,initial training,female,39.704
1999,percentage,,initial training,male,
2010,percentage,,initial training,male,42.697
2011,percentage,,initial training,male,42.734
2012,percentage,,initial training,male,41.907
2013,percentage,,initial training,male,41.153
2014,percentage,,initial training,male,40.92
2015,percentage,,initial training,male,40.13
2016,percentage,,initial training,male,38.238
2017,percentage,,initial training,male,36.862
2018,percentage,,initial training,male,35.459
2019,percentage,,initial training,male,34.733
2020,percentage,,initial training,male,31.825
2021,percentage,,initial training,male,28.405
2022,percentage,,initial training,male,26.943
2023,percentage,,initial training,male,25.264
2024,percentage,,initial training,male,24.172
2000,percentage,,initial training,male,48.549
2001,percentage,,initial training,male,
2002,percentage,,initial training,male,
2003,percentage,,initial training,male,48.317
2004,percentage,,initial training,male,46.391
2005,percentage,,initial training,male,44.619
2006,percentage,,initial training,male,44.808
2007,percentage,,initial training,male,44.327
2008,percentage,,initial training,male,44.444
2009,percentage,,initial training,male,42.688
1999,percentage,<u>additional time series:</u> skilled labour potential (total),,,82.747
2010,percentage,<u>additional time series:</u> skilled labour potential (total),,,82.435
2011,percentage,<u>additional time series:</u> skilled labour potential (total),,,82.745
2012,percentage,<u>additional time series:</u> skilled labour potential (total),,,82.889
2013,percentage,<u>additional time series:</u> skilled labour potential (total),,,83.211
2014,percentage,<u>additional time series:</u> skilled labour potential (total),,,83.781
2015,percentage,<u>additional time series:</u> skilled labour potential (total),,,83.694
2016,percentage,<u>additional time series:</u> skilled labour potential (total),,,83.079
2017,percentage,<u>additional time series:</u> skilled labour potential (total),,,83.099
2018,percentage,<u>additional time series:</u> skilled labour potential (total),,,82.898
2019,percentage,<u>additional time series:</u> skilled labour potential (total),,,82.736
2020,percentage,<u>additional time series:</u> skilled labour potential (total),,,81.123
2021,percentage,<u>additional time series:</u> skilled labour potential (total),,,79.916
2022,percentage,<u>additional time series:</u> skilled labour potential (total),,,78.211
2023,percentage,<u>additional time series:</u> skilled labour potential (total),,,78.057
2024,percentage,<u>additional time series:</u> skilled labour potential (total),,,79.196
2000,percentage,<u>additional time series:</u> skilled labour potential (total),,,82.319
2001,percentage,<u>additional time series:</u> skilled labour potential (total),,,82.822
2002,percentage,<u>additional time series:</u> skilled labour potential (total),,,82.193
2003,percentage,<u>additional time series:</u> skilled labour potential (total),,,82.594
2004,percentage,<u>additional time series:</u> skilled labour potential (total),,,82.738
2005,percentage,<u>additional time series:</u> skilled labour potential (total),,,80.75
2006,percentage,<u>additional time series:</u> skilled labour potential (total),,,80.464
2007,percentage,<u>additional time series:</u> skilled labour potential (total),,,81.142
2008,percentage,<u>additional time series:</u> skilled labour potential (total),,,81.787
2009,percentage,<u>additional time series:</u> skilled labour potential (total),,,82.007
2030,percentage,<u>additional time series:</u> skilled labour potential (total),,,
1999,percentage,<u>additional time series:</u> skilled labour potential (total),,female,
2010,percentage,<u>additional time series:</u> skilled labour potential (total),,female,82.152
2011,percentage,<u>additional time series:</u> skilled labour potential (total),,female,82.547
2012,percentage,<u>additional time series:</u> skilled labour potential (total),,female,82.871
2013,percentage,<u>additional time series:</u> skilled labour potential (total),,female,83.036
2014,percentage,<u>additional time series:</u> skilled labour potential (total),,female,83.537
2015,percentage,<u>additional time series:</u> skilled labour potential (total),,female,83.993
2016,percentage,<u>additional time series:</u> skilled labour potential (total),,female,83.329
2017,percentage,<u>additional time series:</u> skilled labour potential (total),,female,84.193
2018,percentage,<u>additional time series:</u> skilled labour potential (total),,female,84.384
2019,percentage,<u>additional time series:</u> skilled labour potential (total),,female,84.042
2020,percentage,<u>additional time series:</u> skilled labour potential (total),,female,82.256
2021,percentage,<u>additional time series:</u> skilled labour potential (total),,female,81.506
2022,percentage,<u>additional time series:</u> skilled labour potential (total),,female,79.803
2023,percentage,<u>additional time series:</u> skilled labour potential (total),,female,79.441
2024,percentage,<u>additional time series:</u> skilled labour potential (total),,female,81.004
2000,percentage,<u>additional time series:</u> skilled labour potential (total),,female,81.001
2001,percentage,<u>additional time series:</u> skilled labour potential (total),,female,
2002,percentage,<u>additional time series:</u> skilled labour potential (total),,female,
2003,percentage,<u>additional time series:</u> skilled labour potential (total),,female,81.227
2004,percentage,<u>additional time series:</u> skilled labour potential (total),,female,81.302
2005,percentage,<u>additional time series:</u> skilled labour potential (total),,female,79.878
2006,percentage,<u>additional time series:</u> skilled labour potential (total),,female,79.577
2007,percentage,<u>additional time series:</u> skilled labour potential (total),,female,80.69
2008,percentage,<u>additional time series:</u> skilled labour potential (total),,female,81.069
2009,percentage,<u>additional time series:</u> skilled labour potential (total),,female,81.903
1999,percentage,<u>additional time series:</u> skilled labour potential (total),,male,
2010,percentage,<u>additional time series:</u> skilled labour potential (total),,male,82.713
2011,percentage,<u>additional time series:</u> skilled labour potential (total),,male,82.843
2012,percentage,<u>additional time series:</u> skilled labour potential (total),,male,82.81
2013,percentage,<u>additional time series:</u> skilled labour potential (total),,male,83.382
2014,percentage,<u>additional time series:</u> skilled labour potential (total),,male,83.825
2015,percentage,<u>additional time series:</u> skilled labour potential (total),,male,83.205
2016,percentage,<u>additional time series:</u> skilled labour potential (total),,male,82.836
2017,percentage,<u>additional time series:</u> skilled labour potential (total),,male,82.051
2018,percentage,<u>additional time series:</u> skilled labour potential (total),,male,81.479
2019,percentage,<u>additional time series:</u> skilled labour potential (total),,male,81.497
2020,percentage,<u>additional time series:</u> skilled labour potential (total),,male,80.044
2021,percentage,<u>additional time series:</u> skilled labour potential (total),,male,78.413
2022,percentage,<u>additional time series:</u> skilled labour potential (total),,male,76.698
2023,percentage,<u>additional time series:</u> skilled labour potential (total),,male,76.742
2024,percentage,<u>additional time series:</u> skilled labour potential (total),,male,77.49
2000,percentage,<u>additional time series:</u> skilled labour potential (total),,male,83.591
2001,percentage,<u>additional time series:</u> skilled labour potential (total),,male,
2002,percentage,<u>additional time series:</u> skilled labour potential (total),,male,
2003,percentage,<u>additional time series:</u> skilled labour potential (total),,male,83.784
2004,percentage,<u>additional time series:</u> skilled labour potential (total),,male,84.113
2005,percentage,<u>additional time series:</u> skilled labour potential (total),,male,81.594
